user,text,favorite_count,retweet_count,created_at
seawatch_intl,"As civil fleet, we stand united against the criminalization of sea rescue, which leads to even more deaths in the #Mediterranean, and demand the release of the #GeoBarents.

Sea rescue is not a crime!",46,16,2023-03-03 10:29:56+00:00
seawatch_intl,"We stand in #solidarity with the #GeoBarents!
After her last mission, in which 48 people were rescued from distress at sea, the Geo Barents was seized by Italy. @MSF_Sea is now to pay a fine of 10,000 euros due to the new Italian law. https://t.co/0Vs5KPimpL",280,80,2023-03-03 10:29:54+00:00
seawatch_intl,"#Leijtens must now follow up his promises with action. That means ensuring an immediate end to @Frontex operations in the Central Mediterranean.

Our open letter and demands with 19 other organizations: https://t.co/4q3p1Qx2wZ",21,13,2023-03-02 16:41:57+00:00
seawatch_intl,"""I am responsible for the fact that my people don‘t participate in anything called a pushback"" said the new @Frontex director #Leijtens before taking office.",32,16,2023-03-02 16:41:57+00:00
seawatch_intl,"As search and rescue NGOs, we demand that @Frontex lives up to #Leijtens alleged three “guiding principles“: “accountability, respect for fundamental rights and transparency“. The first act of #Leijtens should be therefore to terminate Frontex operations in the Central Med.",13,2,2023-03-02 11:30:44+00:00
seawatch_intl,"#Frontex has been involved in countless scandals, trying to hide the agency‘s involvement in countless human rights violations: From #Pushbacks in the Aegean to the coordination of illegal #Pullbacks by the so-called Libyan Coast Guard, to the manipulation of internal reports.",18,8,2023-03-02 11:30:44+00:00
seawatch_intl,"Today, together with 19 civil organizations engaged in Search and Rescue activities, we sent an open letter to the new @Frontex director Hans #Leijtens to live up to his promises. As Leijtens said in a press conference: “There should be absolutely nothing to hide“. https://t.co/bshvChl8vw",60,24,2023-03-02 11:30:43+00:00
seawatch_intl,We demand immediate clarification of this incident and share our thoughts with the victims’ families during this difficult time.,26,5,2023-03-01 13:55:45+00:00
seawatch_intl,"According to the Commander of the #Crotone Coast Guard, their ""patrol boats could have sailed even in force eight seas."" So why let unsuitable patrol boats of the financial police intervene that were then forced to return, leaving the people in distress at the mercy of the sea?",30,6,2023-03-01 13:55:29+00:00
seawatch_intl,"The Coast Guard itself, in 2017, acted considering ""every overcrowded boat a SAR case in itself“. So who in #Rome was responsible for not giving the order to the #Crotone Coast Guard to take action?",20,6,2023-03-01 13:55:05+00:00
seawatch_intl,"How is it possible that the Italian National Coordination Center (NCC), which is based at the Ministry of Interior, classified the case of a boat with ~200 people on board in a sea with waves up to 2.5 meters, as a ""police operation"" and not a ""Search and Rescue"" (SAR) event?",30,8,2023-03-01 13:54:48+00:00
seawatch_intl,"67 bodies recovered, dozens still missing.

The policy of handling boats in distress at sea from a perspective of repression and not rescue, introduced in 2019, led to the worst mass die-off in recent years on the Italian coast on Sunday. #Crotone https://t.co/7fdu0h32mK",147,68,2023-03-01 13:54:33+00:00
seawatch_intl,"A sports hall was turned into a funeral hall for the 66 people who were found dead after the shipwreck in #Crotone.

After the serious shipwreck off Lampedusa in 2013, EU politicians said: ""This must never happen again.""

Europe, these deaths are yours! https://t.co/PArb3AYgDc",284,128,2023-03-01 10:59:46+00:00
seawatch_intl,"The shipwreck off the Italian coast near Crotone with more than 60 fatalities is the direct consequence of an #EU border policy that forces people onto even longer and more dangerous escape routes.
Our thoughts go out to the relatives and friends who have lost their loved ones. https://t.co/mxxnssXnrm",588,297,2023-02-27 12:44:54+00:00
seawatch_intl,"hypocrisy

/hɪˈpɒkrəsi/

noun

1.the practice of claiming to have higher standards or more noble beliefs than is the case. https://t.co/7qfNV98A7K",280,106,2023-02-26 18:05:23+00:00
seawatch_intl,"Another catastrophe at the borders of a European Union that forces people to flee across the sea as a last resort. In mourning for the dead, in thoughts with survivors and relatives. 

Stop the dying. For safe and legal escape routes. https://t.co/087ZiVtUFk",130,44,2023-02-26 13:44:35+00:00
seawatch_intl,"The war of aggression on Ukraine has abruptly turned millions into people on the move. The campaign of @BorderlineEurop shows that legal flight from war &amp; displacement is possible. Must be possible.
Against criminalization - for safe &amp; legal entry routes for all! https://t.co/BlP9o8WbHk",16,10,2023-02-24 15:26:58+00:00
seawatch_intl,We have many different positions in our Airborne crew for our aerial reconnaissance operations together with @HPISwiss. Find out what the tasks of our Crew Chief Alex are in the video! https://t.co/9QiINPaENS,25,10,2023-02-24 14:16:00+00:00
seawatch_intl,"Last Saturday, a woman died there. Not the first in the past months. That this kind of situation keeps happening is no surprise. It’s an intentional political failure of the European Union. https://t.co/yKlZpjSy0s",22,13,2023-02-22 16:24:05+00:00
seawatch_intl,"In the past few days, more than 3,000 people have been in the hotspot on #Lampedusa, which has been set up for 389 people seeking protection. What they need: clean drinking water and medical care. What they get: an overcrowded place and overburdened authorities. https://t.co/BmwAbojvg0",37,15,2023-02-22 16:23:40+00:00
